"","ENT","Entidad","MUN","Municipio","Alf","Asi","EBC","Der","Pis","San","Agu","Dre","Ele","Lav","Ref","Ing"
"165",23,"Quintana Roo",9,"Tulum",0.940710277170886,0.965102974828375,0.67118702257317,0.797055407528865,0.967501331912627,0.969525839104955,0.990729888119339,0.968140649973362,0.975386254661694,0.628343100692595,0.761108151305274,9966.82284877507
"166",24,"San Luis Potosí",13,"Ciudad Valles",0.947841602658845,0.975901960111222,0.683702271925384,0.880517307148043,0.933785224369934,0.819075969990144,0.956996600760303,0.864332119798057,0.969366615041133,0.709515859766277,0.873644829736308,8458.2273697603
"167",24,"San Luis Potosí",20,"Matehuala",0.960793859900338,0.98691980793642,0.67061798640746,0.914373531409735,0.987191253341846,0.853517417501297,0.91161565779498,0.902597661705439,0.982323131558996,0.853238099038346,0.918039982442839,11525.2109377036
"168",24,"San Luis Potosí",28,"San Luis Potosí",0.976976820874696,0.971307720498412,0.747410151003297,0.86002314232795,0.989287260135623,0.978827009089597,0.972907048045015,0.988317883422306,0.994657156254509,0.82600364305295,0.930376208339345,16362.0605131798
"169",24,"San Luis Potosí",35,"Soledad de Graciano Sánchez",0.97760981368651,0.97192055393586,0.743632514856332,0.899292903848405,0.988790760869565,0.991107822204969,0.991920613354037,0.995717682453416,0.996506211180124,0.844829677795031,0.938094429347826,10976.8963822834
"170",24,"San Luis Potosí",37,"Tamazunchale",0.85657104736491,0.973964934516265,0.512495403162624,0.925417952598277,0.836676217765043,0.611882163323782,0.79862106017192,0.775250716332378,0.975376074498567,0.258551217765043,0.604718839541547,7068.91984115211
"171",24,"San Luis Potosí",39,"Tampamolón Corona",0.869800410371199,0.98328173374613,0.522276301010857,0.936003360873827,0.73836032388664,0.287449392712551,0.778846153846154,0.443825910931174,0.913461538461538,0.231781376518219,0.589574898785425,8340.19169180691
"172",25,"Sinaloa",1,"Ahome",0.972681221331491,0.974167513108409,0.711903975066019,0.861080814533936,0.979381526298416,0.944448469917639,0.979864583081741,0.95350578460498,0.994066452511493,0.756547432150649,0.949287088697276,16239.5548817101
"173",25,"Sinaloa",6,"Culiacán",0.968869362178359,0.977455400901784,0.722051593800517,0.823342410494036,0.983630137546073,0.965270229406909,0.983515720135013,0.974456312980655,0.996518441634861,0.812269632801837,0.966741310406264,18014.6731681043
"174",25,"Sinaloa",8,"Elota",0.915841850457235,0.948178707989535,0.457225308808458,0.882698251363853,0.970191676991473,0.760877487063625,0.972159463595948,0.948837548283653,0.994169521171926,0.536841338094891,0.717148895853072,9496.22805809722
